SKU	Tên sản phẩm	Danh mục	Thương hiệu	Hình ảnh	Ghi chú	Cập nhật	price_1	unit_1	price_2	unit_2	price_3	unit_3	price_4	unit_4	price_5	unit_5
SP056	Bánh Solite cuộn	Bánh	Solite	https://www.lottemart.vn/media/catalog/product/cache/0x0/8/9/8934680042871-1-1.jpg.webp		2025-10-29	30000	Đơn vị								
SP057	Bánh Hura kem hộp 360g	Bánh	Hura	https://cdn.tgdd.vn/Products/Images/3358/102595/bhx/banh-trung-cuon-kem-bo-sua-hura-swissroll-hop-360g-20-cai-202312201605299069.jpg		2025-10-29	29000	Đơn vị								
SP058	Dầu ăn Ông già Neptune chai 1L	Dầu ăn	Neptune	https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2286/226995/bhx/226995-slide_202409121350273101.jpg		20:57:38 12/1/2026	55000	chai								
SP059	Dầu ăn Tường An 1L	Dầu ăn	Tường An	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAJKr2HLYQuvpi9DrK_t7gJwF1JOv-pdhSow&s		20:57:35 12/1/2026	45000	chai								
SP060	Dầu ăn Simply đậu nành 1L	Dầu ăn	Simply	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMxGUKG28LxgKx5wVjhf-KGh6qvLmIz_GCPw&s		20:57:42 12/1/2026	55000	chai								
SP061	Dầu ăn Meizan 1L	Dầu ăn	Meizan	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8AZmCrDCTxJeM6HVejmMb8NHdT6zenZWidA&s		20:57:45 12/1/2026	45000	chai								
SP062	Dầu gạo Lứt Simply 1L	Dầu ăn	Simply	https://product.hstatic.net/200000401369/product/dau_gao_simply_1l_e423e8cfc3254cc4bbfa7e1ba6c361f2_1024x1024.jpg		20:58:11 12/1/2026	60000	chai								
SP063	Mắm Nam Ngư nhỏ 500ml	Mắm	Nam Ngư	https://bizweb.dktcdn.net/thumb/grande/100/469/765/products/1x-22a6b62b-debe-4680-97d8-64cdcd2faa6a.jpg		20:58:15 12/1/2026	33000	chai								
SP064	Mắm Đệ Nhị 900ml	Mắm	Nam Ngư	https://bizweb.dktcdn.net/thumb/1024x1024/100/511/037/products/nuoc-cham-nam-ngu-de-nhi-chai-900ml-201903151030027270.jpg?v=1718881193043		18:46:11 4/1/2026	18000	Đơn vị								
SP065	Mắm hương cá hồi Chinsu 500ml	Mắm	Chinsu	https://cdn.tgdd.vn/Products/Images/2289/209456/bhx/nuoc-mam-huong-ca-hoi-hao-hang-chinsu-12-do-dam-chai-500ml-202309211050432162.jpg		19:38:05 4/1/2026		Đơn vị								
SP067	Nước mắm Thái Long 500ml	Mắm	Thái Long	https://lavela.com.vn/upload/images/R39D/NMPT-Thai-Long-20N-nhan-do-hao-hang-500.png		15:05:03 2/1/2026	25000	Đơn vị								
SP068	Xì Dầu Chinsu Thường - Nắp Trắng	Xì dầu	Chinsu	https://bonta-m-company.com/wp-content/uploads/2024/07/anh_chup_man_hinh_2022-05-12_luc_23-32-37_b35bf6c8292e42dfa653dcf4f5595216_master.png		19:36:01 4/1/2026		Đơn vị								
SP069	Xì dầu Tam Thái Tử nhất ca 500ml	Xì dầu	Tam Thái Tử	https://asianoeki.com/cdn/shop/products/New-8936017367091.jpg?v=1666087693		19:35:57 4/1/2026		Đơn vị								
SP070	Bánh socola Nice	Bánh		https://i.ibb.co/My3NZh0P/blob.jpg		07:46:37 1/11/2025	30000	Đơn vị								
SP071	Bánh socola Tình	Bánh		https://i.ibb.co/3Ycq7Ftf/blob.jpg		07:47:08 1/11/2025	60000	Đơn vị								
SP072	Bánh Solite Kinh Đô	Bánh		https://i.ibb.co/C3NnH2f8/blob.jpg		07:55:10 1/11/2025	30000	Đơn vị								
SP073	Bánh Hura deli xách	Bánh		https://i.ibb.co/f69wbGr/blob.jpg		07:56:35 1/11/2025	50000	Đơn vị								
SP074	Hạt nêm Meizan	Gia vị		https://i.ibb.co/jvHv4f7P/blob.jpg		08:17:10 1/11/2025	25000	Đơn vị								
SP075	Hạt nêm Chin su	Gia vị		https://i.ibb.co/HpGRnXrh/blob.jpg		08:18:23 1/11/2025	30000	Đơn vị								
SP076	Hạt nêm knorr 170g	Gia vị		https://i.ibb.co/hRwmCpXR/blob.jpg		08:19:25 1/11/2025	15000	Đơn vị								
SP077	Bánh canh khô Hạnh	Bánh		https://i.ibb.co/1fqf43S9/blob.jpg		08:19:59 1/11/2025	30000	Đơn vị								
SP078	Bánh tráng Đại Lộc 0,5kg	Bánh		https://i.ibb.co/NgCC5cZS/blob.jpg		08:21:10 1/11/2025	15000	Đơn vị								
SP079	Bánh tráng cuốn mè đen Đại lộc	Bánh		https://i.ibb.co/dsmgDFQw/blob.jpg		08:23:39 1/11/2025	10000	Đơn vị								
SP081	Đường cát	Gia vị		https://i.ibb.co/M5s4yDDQ/blob.jpg		19:58:32 13/1/2026	12000	0,5 kg	23000	kg						
SP082	Bột giặt Omo 380g	Giặt - xả		https://i.ibb.co/zWGtHqJT/blob.jpg		08:25:07 1/11/2025	20000	Đơn vị								
SP083	Bột giặt Aba 770g	Giặt - xả		https://i.ibb.co/mCJtpzdb/blob.jpg		08:26:10 1/11/2025	35000	Đơn vị								
SP084	Vị tinh ajinomoto 400g	Gia vị		https://i.ibb.co/9mZP3Z9d/blob.jpg		08:27:50 1/11/2025	30000	Đơn vị								
SP085	Vị tinh Aone 453g	Gia vị		https://i.ibb.co/DDVN1g5S/blob.jpg		08:28:28 1/11/2025	30000	Đơn vị								
SP086	Miến Phương Đông			https://i.ibb.co/kTN6DT2/blob.jpg		08:31:17 1/11/2025	20000	Đơn vị								
SP087	Bánh quy Coconut cracker	Bánh		https://i.ibb.co/21BkGjSP/blob.jpg		15:33:30 1/11/2025	10000	Đơn vị								
SP088	Bánh gấc An Bảo	Bánh		https://i.ibb.co/MkrG6pwg/blob.jpg		15:34:06 1/11/2025	10000	Đơn vị								
SP089	Thạch sữa chua hoa quả Yogurt	Kẹo		https://i.ibb.co/nMgsqWgH/blob.jpg		15:45:52 1/11/2025	50000	Đơn vị								
SP090	Thạch caramel Jelly Long Hải			https://i.ibb.co/7tVzQZK6/blob.jpg		15:46:53 1/11/2025	30000	Đơn vị								
